Metrics,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
Loss,0.5236932784318924,0.46789859147632823,0.44874139743692737,0.4972298986771527,0.4508285864311106,0.4776783504906823
Accuracy,0.7396226525306702,0.800000011920929,0.800000011920929,0.8037735819816589,0.8226414918899536,0.7932075500488281
Precision,0.5,0.6279069781303406,0.8285714387893677,0.7083333134651184,0.699999988079071,0.6729623436927795
Recall,0.3188405930995941,0.421875,0.3815789520740509,0.27419355511665344,0.4444444477558136,0.3681865096092224
F1 Score,0.3893805146217346,0.5046728849411011,0.522522509098053,0.39534881711006165,0.5436893105506897,0.471122807264328
