Metrics,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
Loss,0.3908020450788386,0.438283094588448,0.28289486161049676,0.2632793359020177,0.2834488894133007,0.3317416453186204
Accuracy,0.8339622616767883,0.8075471520423889,0.8867924809455872,0.8981131911277771,0.8679245114326477,0.8588679194450378
Precision,0.654321014881134,0.5866666436195374,0.8484848737716675,0.8723404407501221,0.7799999713897705,0.7483625888824463
Recall,0.7681159377098083,0.6875,0.7368420958518982,0.6612903475761414,0.6190476417541504,0.6945592045783997
F1 Score,0.7066667079925537,0.633093535900116,0.7887324094772339,0.752293586730957,0.6902654767036438,0.7142103433609008
