Metrics,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
Loss,0.4576738879961126,0.3796562679550227,0.34465894891935234,0.4128844036775477,0.3361974183250876,0.38621418537462454
Accuracy,0.7698113322257996,0.8415094614028931,0.8641509413719177,0.8150943517684937,0.8603773713111877,0.8301886916160583
Precision,0.5512820482254028,0.7894737124443054,0.7702702879905701,0.5822784900665283,0.7096773982048035,0.680596387386322
Recall,0.6231883764266968,0.46875,0.75,0.7419354915618896,0.6984127163887024,0.6564573168754577
F1 Score,0.5850340127944946,0.5882352590560913,0.7599999308586121,0.652482271194458,0.7039999961853027,0.6579502940177917
