Metrics,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
Loss,0.5045335380470052,0.4351835356039159,0.4114517762380488,0.3992624703575583,0.3697914305855246,0.4240445501664105
Accuracy,0.7811321020126343,0.800000011920929,0.8339622616767883,0.7886792421340942,0.8415094614028931,0.8090566158294678
Precision,0.577464759349823,0.6410256624221802,0.75,0.5428571701049805,0.6842105388641357,0.6391116261482239
Recall,0.5942028760910034,0.390625,0.6315789222717285,0.6129032373428345,0.6190476417541504,0.5696715354919434
F1 Score,0.5857142806053162,0.48543691635131836,0.6857142448425293,0.5757575631141663,0.6500000357627869,0.5965246081352233
