Metrics,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
Loss,0.45921701631125283,0.3887363759910359,0.38916172525461984,0.36461323762641235,0.35853025755461526,0.39205172254758724
Accuracy,0.8301886916160583,0.8301886916160583,0.8603773713111877,0.849056601524353,0.8716981410980225,0.8483018994331359
Precision,0.6818181872367859,0.8518518805503845,0.8545454740524292,0.6571428775787354,0.8717948794364929,0.7834306597709656
Recall,0.6521739363670349,0.359375,0.6184210777282715,0.7419354915618896,0.5396825671195984,0.5823176145553589
F1 Score,0.6666666865348816,0.5054945349693298,0.7175572514533997,0.6969696879386902,0.6666666865348816,0.6506709694862366
